更新时间: 2025-11-30 16:56:52（北京时间）

更新时间,#genre#
2025-11-30 16:56:52,http://live.njgdmm.com/changzhi/cztv1.m3u8$长治综合#http://live.njgdmm.com/changzhi/cztv2.m3u8$长治公共#http://live.njgdmm.com/changzhi/czetv.m3u8$长治教育#https://f3jok3az.live.sxmty.com/live/hls/ebaa2bf2e7f94dc79d4e642ac76d2415/0d97361a940348729fbd0ee3f4eb9e47.m3u8$屯留电视台#http://zhibo.czmarathon.net/cdd/TVLive.m3u8?auth_key=1724143889-0-0-929d4ecd8b7700822ec202b14ebc6c3c$上党TV#https://zmjp3jin.live.sxmty.com/live/hls/268fe96f955d496db37fb10bb887cda9/fc196029d289449ea524a94a95379a0d.m3u8$壶关电视台#http://60.220.198.84:81/0.m3u8$武乡电视台#http://player4.juyun.tv:80/tv/149466149.m3u8$平顺电视台#http://jwcdnqx.hebyun.com.cn/live/SXTV1/1500k/tzwj_video.m3u8$涉县综合#http://live.jinnews.com.cn/xwzh/sd/live.m3u8$晋城综合#http://live.jinnews.com.cn/xwzh/sd/live.m3u8?zshanxd$晋城综合#http://live.jinnews.com.cn/ggpd/sd/live.m3u8$晋城文化#http://live.jinnews.com.cn/ggpd/sd/live.m3u8?zshanxd$晋城文化

央视频道,#genre#
怀旧剧场,http://106.116.241.95:9999/rtp/239.254.200.95:6229$河北省电信
怀旧剧场,http://42.179.211.253:8888/rtp/232.0.0.38:1234$辽宁联通
第一剧场,http://117.81.217.185:5555/rtp/239.49.1.226:6000$江苏电信
第一剧场,http://106.116.241.95:9999/rtp/239.254.200.93:6227$河北省电信
第一剧场,http://42.179.211.253:8888/rtp/232.0.0.29:1234$辽宁联通
女性时尚,http://117.81.217.185:5555/rtp/239.49.1.69:6000$江苏电信
女性时尚,http://106.116.241.95:9999/rtp/239.254.200.110:6241$河北省电信
女性时尚,http://42.179.211.253:8888/rtp/232.0.0.51:1234$辽宁联通
世界地理,http://117.81.217.185:5555/rtp/239.49.1.63:6000$江苏电信
世界地理,http://106.116.241.95:9999/rtp/239.254.200.102:6236$河北省电信
世界地理,http://42.179.211.253:8888/rtp/232.0.0.63:1234$辽宁联通
央视台球,http://106.116.241.95:9999/rtp/239.254.201.171:7176$河北省电信
央视台球,http://42.179.211.253:8888/rtp/232.0.0.60:1234$辽宁联通
高尔夫网球,http://117.81.217.185:5555/rtp/239.49.1.62:6000$江苏电信
高尔夫网球,http://106.116.241.95:9999/rtp/239.254.200.98:6232$河北省电信
央视文化精品,http://117.81.217.185:5555/rtp/239.49.1.66:6000$江苏电信
央视文化精品,http://106.116.241.95:9999/rtp/239.254.200.111:6251$河北省电信
央视文化精品,http://42.179.211.253:8888/rtp/232.0.0.56:1234$辽宁联通
电视指南,http://117.81.217.185:5555/rtp/239.49.1.60:6000$江苏电信
电视指南,http://106.116.241.95:9999/rtp/239.254.200.142:6256$河北省电信
电视指南,http://42.179.211.253:8888/rtp/232.0.0.91:1234$辽宁联通
中学生,http://106.116.241.95:9999/rtp/239.254.200.113:6243$河北省电信
中学生,http://113.25.107.142:10000/rtp/239.1.1.104:8104$山西电信
发现之旅,http://113.25.107.142:10000/rtp/239.1.1.103:8103$山西电信
国学频道,http://60.223.72.146:8004/rtp/226.0.2.116:8840$山西联通
国学频道,http://60.223.72.117:8001/rtp/226.0.2.116:8840$山西联通
国学频道,http://183.191.151.201:8005/rtp/226.0.2.116:8840$山西联通
国学频道,http://60.223.72.146:8001/rtp/226.0.2.116:8840$山西联通
国学频道,http://183.191.151.201:8001/rtp/226.0.2.116:8840$山西联通
环球奇观,http://60.223.72.146:8004/rtp/226.0.2.111:8800$山西联通
环球奇观,http://60.223.72.117:8001/rtp/226.0.2.111:8800$山西联通
环球奇观,http://183.191.151.201:8005/rtp/226.0.2.111:8800$山西联通
环球奇观,http://60.223.72.146:8001/rtp/226.0.2.111:8800$山西联通
环球奇观,http://106.116.241.95:9999/rtp/239.254.200.105:6238$河北省电信
环球奇观,http://113.25.107.142:10000/rtp/239.1.1.98:8098$山西电信
环球奇观,http://183.191.151.201:8001/rtp/226.0.2.111:8800$山西联通

卫视频道,#genre#
湖南卫视,http://60.223.72.146:8004/rtp/226.0.2.33:8176$山西联通
湖南卫视,http://223.198.242.106:4000/rtp/239.253.64.32:5140$海南电信
湖南卫视,http://60.223.72.117:8001/rtp/226.0.2.33:8176$山西联通
湖南卫视,http://183.191.151.201:8005/rtp/226.0.2.33:8176$山西联通
湖南卫视,http://60.216.164.56:6688/rtp/239.21.1.158:5002$山东电信
湖南卫视,http://183.30.201.9:10002/rtp/239.77.1.29:5146$广东电信
湖南卫视,http://60.223.72.146:8001/rtp/226.0.2.33:8176$山西联通
湖南卫视,http://117.81.217.185:5555/rtp/239.49.1.38:6000$江苏电信
湖南卫视,http://106.116.241.95:9999/rtp/239.254.200.48:8012$河北省电信
湖南卫视,http://42.179.211.253:8888/rtp/232.0.0.115:1234$辽宁联通
湖南卫视,http://119.131.26.48:9003/rtp/239.77.1.29:5146$广东电信
湖南卫视,http://183.191.151.201:8001/rtp/226.0.2.33:8176$山西联通
浙江卫视,http://60.223.72.146:8004/rtp/226.0.2.36:8200$山西联通
浙江卫视,http://223.198.242.106:4000/rtp/239.253.64.28:5140$海南电信
浙江卫视,http://60.223.72.117:8001/rtp/226.0.2.36:8200$山西联通
浙江卫视,http://183.191.151.201:8005/rtp/226.0.2.36:8200$山西联通
浙江卫视,http://60.216.164.56:6688/rtp/239.21.1.90:5002$山东电信
浙江卫视,http://183.30.201.9:10002/rtp/239.77.1.32:5146$广东电信
浙江卫视,http://60.223.72.146:8001/rtp/226.0.2.36:8200$山西联通
浙江卫视,http://117.81.217.185:5555/rtp/239.49.1.34:6000$江苏电信
浙江卫视,http://106.116.241.95:9999/rtp/239.254.200.53:8036$河北省电信
浙江卫视,http://42.179.211.253:8888/rtp/232.0.0.123:1234$辽宁联通
浙江卫视,http://119.131.26.48:9003/rtp/239.77.1.32:5146$广东电信
浙江卫视,http://183.191.151.201:8001/rtp/226.0.2.36:8200$山西联通
江苏卫视,http://60.223.72.146:8004/rtp/226.0.2.38:8216$山西联通
江苏卫视,http://223.198.242.106:4000/rtp/239.253.64.27:5140$海南电信
江苏卫视,http://60.223.72.117:8001/rtp/226.0.2.38:8216$山西联通
江苏卫视,http://183.191.151.201:8005/rtp/226.0.2.38:8216$山西联通
江苏卫视,http://60.216.164.56:6688/rtp/239.21.1.89:5002$山东电信
江苏卫视,http://183.30.201.9:10002/rtp/239.77.1.40:5146$广东电信
